,day,healthy,infected,sick,hospital,icu,dead,recovered
0,1,9999,1,0,0,0,0,0
1,2,9998,2,0,0,0,0,0
2,3,9997,3,0,0,0,0,0
3,4,9996,4,0,0,0,0,0
4,5,9994,6,0,0,0,0,0
5,6,9990,10,0,0,0,0,0
6,7,9984,16,0,0,0,0,0
7,8,9976,24,0,0,0,0,0
8,9,9955,45,0,0,0,0,0
9,10,9934,66,0,0,0,0,0
10,11,9893,107,0,0,0,0,0
11,12,9841,159,0,0,0,0,0
12,13,9743,257,0,0,0,0,0
13,14,9604,396,0,0,0,0,0
14,15,9410,590,0,0,0,0,0
15,16,9094,905,1,1,0,0,0
16,17,8640,1358,2,1,0,0,0
17,18,8043,1954,3,1,0,0,0
18,19,7227,2769,4,1,0,0,0
19,20,6279,3715,6,1,0,0,0
20,21,5200,4790,10,1,0,0,0
21,22,4138,5846,16,1,0,0,0
22,23,3194,6782,24,3,0,0,0
23,24,2359,7596,45,10,0,0,0
24,25,1748,8186,66,15,0,0,0
25,26,1262,8631,107,24,0,0,0
26,27,930,8911,159,34,1,0,0
27,28,763,8981,256,49,1,0,0
28,29,618,8986,395,73,2,0,1
29,30,563,8851,584,110,2,0,2
30,31,608,8498,891,165,3,0,3
31,32,685,7983,1327,254,4,1,4
32,33,774,7319,1900,358,4,1,6
33,34,939,6367,2682,509,4,2,10
34,35,1009,5414,3559,668,9,2,16
35,36,1097,4334,4542,849,14,3,24
36,37,1116,3289,5548,1007,23,3,44
37,38,993,2501,6438,1151,36,3,65
38,39,913,1742,7236,1261,47,4,105
39,40,710,1286,7839,1307,52,8,157
40,41,589,866,8281,1360,54,10,254
41,42,448,606,8538,1372,55,15,393
42,43,320,458,8612,1367,53,23,587
43,44,254,314,8503,1335,50,27,902
44,45,173,264,8179,1269,47,31,1353
45,46,131,221,7668,1178,43,33,1947
46,47,113,160,6931,1050,36,38,2758
47,48,86,138,6036,907,28,42,3698
48,49,79,98,5006,737,20,42,4775
49,50,67,78,3977,577,14,43,5835
50,51,56,68,3052,423,12,43,6781
51,52,47,62,2229,301,10,43,7619
52,53,42,57,1628,243,8,43,8230
53,54,35,57,1132,173,8,43,8733
54,55,40,42,798,133,7,43,9077
55,56,35,38,596,96,6,43,9288
56,57,33,33,417,77,3,44,9473
57,58,33,27,316,55,3,44,9580
58,59,30,28,250,46,3,44,9648
59,60,28,26,197,29,3,44,9705
60,61,27,24,161,21,3,44,9744
61,62,26,23,118,15,3,44,9789
62,63,29,15,96,12,3,44,9816
63,64,25,18,75,9,2,44,9838
64,65,25,16,65,9,2,44,9850
65,66,23,17,56,8,1,44,9860
66,67,26,11,55,8,1,44,9864
67,68,24,9,45,9,0,44,9878
68,69,22,10,39,9,0,44,9885
69,70,21,11,32,6,0,44,9892
70,71,22,8,30,6,0,44,9896
71,72,22,6,30,6,0,44,9898
72,73,20,8,26,6,0,44,9902
73,74,20,8,22,5,0,44,9906
74,75,20,6,23,5,0,44,9907
75,76,20,6,18,4,0,44,9912
76,77,20,5,18,5,0,44,9913
77,78,20,5,16,4,0,44,9915
78,79,20,5,15,4,0,44,9916
79,80,21,3,12,3,0,44,9920
80,81,20,3,10,1,0,44,9923
81,82,20,3,9,1,0,44,9924
82,83,19,3,10,2,0,44,9924
83,84,19,3,7,2,0,44,9927
84,85,19,2,7,2,0,44,9928
85,86,19,2,7,2,0,44,9928
86,87,19,2,7,2,0,44,9928
87,88,19,1,6,2,0,44,9930
88,89,19,1,6,2,0,44,9930
89,90,19,1,5,1,0,44,9931
90,91,19,1,5,1,0,44,9931
91,92,19,1,5,1,0,44,9931
92,93,19,1,4,1,0,44,9932
93,94,19,1,3,1,0,44,9933
94,95,19,1,3,1,0,44,9933
95,96,19,1,2,0,0,44,9934
96,97,19,1,2,0,0,44,9934
97,98,19,0,2,0,0,44,9935
98,99,19,0,2,0,0,44,9935
99,100,19,0,2,0,0,44,9935
100,101,19,0,1,0,0,44,9936
101,102,19,0,1,0,0,44,9936
102,103,19,0,1,0,0,44,9936
103,104,19,0,1,0,0,44,9936
104,105,19,0,1,0,0,44,9936
105,106,19,0,1,0,0,44,9936
106,107,19,0,1,0,0,44,9936
107,108,19,0,1,0,0,44,9936
108,109,19,0,1,0,0,44,9936
109,110,19,0,1,0,0,44,9936
110,111,19,0,0,0,0,44,9937
